region,number_of_countries
Caribbean,24
"Eastern Africa",20
"Middle East",18
"Western Africa",17
"Southern Europe",15
"Southern and Central Asia",14
"South America",14
"Southeast Asia",11
Polynesia,10
"Eastern Europe",10
"Central Africa",9
"Western Europe",9
"Central America",8
"Eastern Asia",8
"Nordic Countries",7
"Northern Africa",7
Micronesia,7
Antarctica,5
"Australia and New Zealand",5
"North America",5
"Southern Africa",5
Melanesia,5
"Baltic Countries",3
"British Islands",2
Micronesia/Caribbean,1
